id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
223116,ET2023A3031005,222717,Ethiopia,Amhara,Oromia,Dewa Harewa,0.2566340727181662,0.031955713471746784,134.73288817703724
223482,ET2023A3041912,222740,Ethiopia,Oromia,Horo Guduru,Horo Buluk,0.268352959604784,0.017161237117081476,140.08024491369724
222989,ET2023A3030405,222711,Ethiopia,Amhara,South Wollo,Thehulederie,0.14062184563620758,0.023010370908818457,71.15465389192104
223094,ET2023A3030808,222715,Ethiopia,Amhara,Wag Himra,Tsagbeji,0.21335016664369663,0.049265024444770156,113.5022886544466
223809,ET2023A3180619,222775,Ethiopia,South Ethiopia,Wolayita,Hobicha Abaya,0.41668954041986445,0.030148166690626293,215.42849239706993
223213,ET2023A3040316,222724,Ethiopia,Oromia,Ilubabor,Hurumu,0.255594402951299,0.04192747092488195,133.42027834057808
223258,ET2023A3040519,222726,Ethiopia,Oromia,West Shewa,Ifata,0.24147342781263187,0.015619485071039987,128.46386359632015
223355,ET2023A3041008,222731,Ethiopia,Oromia,East Hararge,Kersa (East Hararge),0.24272611172516842,0.020499313867983246,129.37301754951477
223892,ET2023A3190210,222787,Ethiopia,Central Ethiopia,Hadiya,Gibe,0.3708449008913548,0.02039167605381292,195.06441786885262
223314,ET2023A3040813,222729,Ethiopia,Oromia,Arsi,Tena,0.3214727872809513,0.02091572349548378,172.9523595571518
223019,ET2023A3030503,222712,Ethiopia,Amhara,North Shewa (AM),Ensaro,0.2122742038831782,0.01752736182067663,113.77897328138351
223051,ET2023A3030603,222713,Ethiopia,Amhara,East Gojam,Goncha Siso Enebse,0.26839638388179254,0.014136284731808597,143.05527260899544
